dest_state_abr;SUM(taxi_out-taxi_in)
OK;313409.172129443
WY;62801.71260418468
MN;937001.9228090455
MT;132140.93571655583
NY;2115924.444457
NM;303182.0461854969
NH;107045.2305839875
CA;3472249.945209942
IA;143360.23058819614
AL;302067.30236875854
VT;34797.25939724339
PA;1706072.8356320572
NJ;906639.002017088
KS;78959.53186673873
NV;1313917.958060683
DE;452.8982755636261
KY;774708.0106159205
ID;149078.70077803638
WI;340031.85379276937
TN;869687.1145566993
IN;315616.51584728755
IL;3189117.313630171
PR;183738.99295030133
VA;1548927.4122828322
VI;24105.004727153817
UT;930785.6760111711
MI;1269354.1507466908
SD;66814.52837428598
GA;2740369.472172997
WV;20264.33791432631
OH;1108900.8121801796
CO;1560996.435254181
HI;553280.1935769175
TT;1415.6932116944854
AK;309305.7935198607
AZ;1485733.794821237
NE;173415.5021393257
SC;123147.70760633853
RI;156061.51842407655
MA;879918.6858012363
NC;1477950.6126807954
LA;515785.568138745
CT;203751.24771736658
ME;67208.90660692254
ND;70890.91514180526
OR;466657.98758353887
MD;715918.4642482087
TX;5641647.698391024
MO;1250710.1799988404
MS;102126.96785150716
AR;201971.38987785386
WA;984059.6171143821
FL;3237920.511266787
