unique_carrier;AVG(dep_delay)
XE;1201.474638197668
US;1199.3052188301301
HA;1206.551764015876
CO;1208.8390055606526
MQ;1205.2384006521997
AQ;1204.8194105708612
VX;1204.08600023211
OH (1);1205.3876226325485
YV;1204.7861043691767
NK;1207.850612983681
OO;1199.7125950330935
HP;1201.8991342731345
B6;1208.3549602511016
UA;1204.947084345006
FL;1206.2305033710154
WN;1208.8585250698566
AS;1199.620768401609
TZ;1207.2031234652572
9E;1199.7860180284456
DH;1205.2939003042147
AA;1214.3777088016673
NW;1206.7467884196901
TW;1204.6736478421446
EV;1205.2244041337783
DL;1204.2383746837913
F9;1201.5710363885328
