unique_carrier;COUNT(dep_delay)
AA;139879.52481879934
US;101735.79425760172
NK;2217.44411038251
YV;15240.366932014187
F9;9813.330970627554
MQ;63957.83435218364
FL;23781.51217516988
B6;26487.660520698904
HP;21442.731777450288
AQ;1398.3751147693952
TW;18014.593247236793
AS;32671.166722245514
CO;54524.90981574546
9E;13067.606261328112
VX;2940.5841668184
UA;117827.93782783055
DH;6769.805020598818
HA;8338.172142668083
TZ;2114.445073691067
WN;217404.782543416
EV;55511.27799355657
XE;32515.482105226103
NW;67935.46785069977
DL;156767.07072229328
OO;76057.81259157672
OH (1);16064.736115423106
