unique_carrier;COUNT(dep_delay)
DL;1315886.3087250437
NW;578746.5378926191
MQ;534698.4351559622
FL;200332.56222063774
F9;84739.72118954491
OO;637747.7939827926
YV;136859.69761612912
DH;53146.637723618325
B6;212571.42965921745
9E;106073.36412185035
US;846280.1571233531
AS;266250.42218049604
UA;991983.1715821554
AA;1142094.6909146954
NK;20696.73436494748
AQ;12014.052788393703
WN;1800476.674749698
HP;178822.837703727
OH (1);139381.47658714713
TW;145457.80931765697
TZ;16273.089263004098
VX;26806.72919514674
EV;462944.67481881625
HA;68298.2724102256
XE;273562.5504470945
CO;452619.8380064919
