year_date;SUM(arr_delay*dep_delay)
2011;76818126080.41776
1998;64269407154.79541
2012;72831122210.34523
1999;68037812867.77075
2015;71355446412.42995
2003;78785162114.48761
1996;67240860899.6121
2014;72421029788.61363
2008;86248130536.67708
2006;88453797853.46571
2009;79444044713.00099
2005;87545777637.78966
1995;62321612047.81219
2016;64864644239.61301
2010;80232038223.50735
2000;68448745825.87906
2004;88272011721.03946
2001;72793379994.9924
2013;79761889252.3127
2002;65598596197.19142
2007;91422576422.59146
1997;67348734199.275345
