year_date;COUNT(dep_delay)
2006;7852.9839873812325
2012;6604.075491048813
2013;6673.922073654406
2005;7826.783114022038
2007;7912.663763286671
1995;5213.4475512756835
2004;7636.098988631693
2003;7072.780194445118
1996;5786.261038451107
2000;6098.981007680163
2014;6267.828335343425
2015;6304.131401392481
2011;6558.951890359622
2001;6513.828299711392
1998;5838.408165196908
2009;6959.24308559672
2016;5710.613211454657
1999;5914.119180103885
2008;7513.828228797222
2002;5593.88646265388
2010;7077.147082278612
1997;5863.2645375200045
