total_build_time,query_num,groups,qid
3.9761019610014046,0,0,"['flights']dep_delay,year_dateorigin='ATL'[]_{'dep_delay': 'AVG'}_{'year_date': (1994.0, 2017.0)}"
3.7971980229995097,1,0,"['flights']distance,year_dateunique_carrier='TW'[]_{'distance': 'AVG'}_{'year_date': (1994.0, 2017.0)}"
3.5404645479975443,2,1,"['flights']unique_carrier,dep_delay,year_dateorigin_state_abr='LA'['unique_carrier']_{'dep_delay': 'COUNT'}_{'year_date': (1994.0, 2017.0)}"
3.407545845995628,3,1,"['flights']unique_carrier,dep_delay,year_dateorigin_state_abr='LA',dest_state_abr='CA'['unique_carrier']_{'dep_delay': 'COUNT'}_{'year_date': (1994.0, 2017.0)}"
2.28317766199325,4,1,"['flights']year_date,dep_delay,year_dateorigin_state_abr='LA',dest='JFK'['year_date']_{'dep_delay': 'COUNT'}_{'year_date': (1994.0, 2017.0)}"
2.4263285829983943,5,1,"['flights']year_date,distance,year_dateunique_carrier='9E'['year_date']_{'distance': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
4.612827370005107,6,1,"['flights']origin_state_abr,air_time,year_datedest='HPN'['origin_state_abr']_{'air_time': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
3.7315978330043436,7,1,"['flights']unique_carrier,dep_delay,year_dateorigin='PHX'['unique_carrier']_{'dep_delay': 'AVG'}_{'year_date': (2005.0, 2005.0)}"
83.15615585701016,8,1,"['flights']dest_state_abr,dep_delay,distance['dest_state_abr']_{'dep_delay': 'COUNT'}_{'distance': (2500.0, None)}"
76.85301628798697,9,1,"['flights']unique_carrier,dep_delay,air_time,dep_delay['unique_carrier']_{'dep_delay': 'COUNT'}_{'air_time': (1000.0, None), 'dep_delay': (1500.0, None)}"
2.286052623010619,10,1,"['flights']year_date,arr_delay*dep_delay,year_dateorigin_state_abr='CA',dest_state_abr='HI'['year_date']_{'arr_delay*dep_delay': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
4.741294624975126,11,1,"['flights']dest_state_abr,taxi_out-taxi_in,year_dateunique_carrier='UA',origin='ATL'['dest_state_abr']_{'taxi_out-taxi_in': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
