dest_state_abr;COUNT(dep_delay)
IA;20693.52605080172
WA;170423.46071143512
OH;150898.55223019252
NY;379311.3613914529
MO;213844.2111881629
AL;75594.56144452374
WY;15435.182904892758
KY;150662.41529546812
PR;23532.697954323266
AZ;268132.3412117089
NC;266594.70212581666
MA;165133.93680632926
MS;14857.403889259589
WV;9907.92204513366
UT;127438.15981664449
WI;50991.18989882616
IL;630835.3369091284
NV;264736.905000025
ID;26410.354781461418
OK;58449.65261385937
GA;478594.48553897545
NM;53362.423452358424
PA;249567.23605299796
NH;44163.20383035239
MD;93181.97679032922
MI;229689.4004012511
TN;144355.63065720952
SD;28264.07596545446
HI;74209.82277237251
LA;91255.86980134233
VT;17492.860632839092
MN;204642.1714647135
CT;69943.48303113323
IN;71074.95446135185
SC;54493.962538735585
CA;1013946.517989562
VI;8785.173556015912
TT;0.0
RI;34909.90754345229
KS;21036.487748125914
CO;235548.71502844556
NE;27725.650116241657
AK;152570.0878105783
ME;13014.412204066635
VA;256909.34801377013
ND;3902.7054465530628
DE;0.0
AR;19967.42219364905
MT;48266.63945504848
NJ;145275.50451098476
FL;572474.0689546954
TX;955089.7193629785
OR;88232.81536284364
