origin_state_abr;SUM(air_time)
PA;41903908.71647834
MA;26493002.44510665
VT;1164401.7530460344
TN;28501420.020830445
CA;175306240.60785985
SD;2013591.4925260702
PR;5978961.115584485
NH;3090613.6999853146
OH;26748013.51664568
LA;15232554.153264951
WI;10504179.907598095
GA;85422065.75942653
MT;3968582.5764626553
OK;10088432.727744963
IL;96009200.1911903
NM;8368440.579893299
TX;165760325.91979653
WA;28688706.08814032
AZ;47926682.122761846
NE;5628299.128561579
RI;5009662.809557119
NJ;29830209.976874404
MO;37907870.07735007
ID;4656118.766945369
MD;21891016.353479795
DE;14578.935121435488
MN;32647467.870793983
ND;2333030.6291132113
SC;7844377.371117717
AK;9583716.163393028
HI;16840409.662195534
VA;44933887.63673311
CT;6710416.392240306
NV;39859748.20430673
MI;39783162.79764422
NY;62759731.364286855
KY;24885369.52728266
WV;753533.4271876054
CO;49736401.01289776
VI;972863.6285126775
IN;10608673.160664996
IA;4394556.123839739
TT;24525.221830178554
AR;6234139.191805182
WY;1458287.925358723
KS;2544933.4745030785
MS;3487852.0444374913
NC;45389902.33312135
FL;96368911.45645927
ME;2210593.244084165
OR;15345858.65206557
UT;27168365.9898131
AL;8072738.339898704
