unique_carrier;COUNT(dep_delay)
MQ;87828.7292371238
CO;78833.86078679294
OH (1);1.745668014442622e-07
HP;3547.094870181527
NK;308.45477969113006
WN;139876.81177779936
F9;4.537229773022687e-08
UA;396769.9186185349
US;86629.38244753295
TW;626.8661679128406
AQ;9.91200854021217e-08
EV;109487.87186091032
DH;0.5561040659226609
AA;15078.695112015303
YV;2.2773907648400714e-05
NW;33725.708376540606
OO;8177.674139613785
HA;352.86508824419286
DL;10012.770556562235
VX;2.5578485802195475e-06
TZ;25.64537455781766
B6;3716.4007485950024
XE;52930.91685025268
AS;118451.24481273405
FL;18948.011031921404
9E;46.609460027685735
