unique_carrier;COUNT(dep_delay)
AA;139145.9341887208
US;103667.2955988407
NK;2471.1445514287693
YV;15609.157194383912
F9;9886.265349371837
MQ;64594.238236268226
FL;23490.903088439
B6;25683.21245246918
HP;21112.904166359967
AQ;1508.4507643818074
TW;17956.817194605344
AS;32176.564688208397
CO;55378.13529359462
9E;12469.761663092058
VX;2926.9009028104724
UA;119658.28162156795
DH;6498.756789555866
HA;8351.338767469519
TZ;2142.6458729578285
WN;218417.4743904006
EV;55846.420524927795
XE;33206.827870296074
NW;68704.89348411602
DL;156535.55131240675
OO;75315.77219483073
OH (1);16602.58820826623
