unique_carrier;COUNT(dep_delay)
DL;1309358.5475305677
NW;563609.763493843
MQ;534477.1513053847
FL;197247.41131208662
F9;82759.01040022928
OO;620122.711933257
YV;134116.4403156316
DH;55423.370492002396
B6;211363.51159777533
9E;103345.75997206484
US;862921.5780223488
AS;269487.7251905842
UA;990565.2548610131
AA;1150825.8866429012
NK;20156.75710260581
AQ;12449.347300428575
WN;1800880.4281181574
HP;175282.4875608911
OH (1);137227.0560721506
TW;152097.96488643167
TZ;16056.295682370837
VX;23894.936432438244
EV;463957.8440533721
HA;66626.27154899415
XE;270053.6254689282
CO;452973.4110999533
