year_date;SUM(distance)
2015;315686774.3720525
2009;350946771.79337204
2005;385674186.37850344
2010;348670275.4353916
2004;387283311.57375115
2000;305514936.78597194
1996;281655312.0437024
2007;405440560.5527791
2016;286025583.18944526
1999;297549824.7313437
1997;292350976.9358837
2014;314272278.61394995
2012;330558709.97998923
2006;385968165.2414566
2008;378016976.2865516
2013;345165476.90550196
2002;290029619.5004939
1995;269863411.64138776
2003;348773962.4100561
1998;285775006.9500502
2001;316216562.5208133
2011;332936430.8613489
