query; sampling time; tuples sampled
(['flights'], ['dep_delay'], [], {'dep_delay': 'AVG'}, "origin='ATL'", {'year_date': (1994.0, 2017.0)});11.068317326000397;1017493
(['flights'], ['distance'], [], {'distance': 'AVG'}, "unique_carrier='TW'", {'year_date': (1994.0, 2017.0)});30.93189517800056;1009716
(['flights'], ['unique_carrier', 'dep_delay'], ['unique_carrier'], {'dep_delay': 'COUNT'}, "origin_state_abr='LA'", {'year_date': (1994.0, 2017.0)});41.38543770100296;1009693
(['flights'], ['unique_carrier', 'dep_delay'], ['unique_carrier'], {'dep_delay': 'COUNT'}, "origin_state_abr='LA',dest_state_abr='CA'", {'year_date': (1994.0, 2017.0)});308.5209382690009;1000053
(['flights'], ['year_date', 'dep_delay'], ['year_date'], {'dep_delay': 'COUNT'}, "origin_state_abr='LA',dest='JFK'", {'year_date': (1994.0, 2017.0)});2651.8704495759994;1000093
(['flights'], ['year_date', 'distance'], ['year_date'], {'distance': 'SUM'}, "unique_carrier='9E'", {'year_date': (1994.0, 2017.0)});42.602756100997794;1000531
(['flights'], ['origin_state_abr', 'air_time'], ['origin_state_abr'], {'air_time': 'SUM'}, "dest='HPN'", {'year_date': (1994.0, 2017.0)});322.90633465899737;1000528
(['flights'], ['unique_carrier', 'dep_delay'], ['unique_carrier'], {'dep_delay': 'AVG'}, "origin='PHX'", {'year_date': (2005.0, 2005.0)});18.858972686000925;1021656
(['flights'], ['dest_state_abr', 'dep_delay'], ['dest_state_abr'], {'dep_delay': 'COUNT'}, '', {'distance': (2500.0, None)});12.610595905000082;2012915
(['flights'], ['unique_carrier', 'dep_delay'], ['unique_carrier'], {'dep_delay': 'COUNT'}, '', {'air_time': (1000.0, None), 'dep_delay': (1500.0, None)});7.065796758000943;1003553
(['flights'], ['year_date', 'arr_delay*dep_delay'], ['year_date'], {'arr_delay*dep_delay': 'SUM'}, "origin_state_abr='CA',dest_state_abr='HI'", {'year_date': (1994.0, 2017.0)});288.7846539329985;1000060
(['flights'], ['dest_state_abr', 'taxi_out-taxi_in'], ['dest_state_abr'], {'taxi_out-taxi_in': 'SUM'}, "unique_carrier='UA',origin='ATL'", {'year_date': (1994.0, 2017.0)});78.45780734399887;1002529
