total_build_time,query_num,groups,qid
154.1270509570022,0,0,"['flights']dep_delay,year_dateorigin='ATL'[]_{'dep_delay': 'AVG'}_{'year_date': (1994.0, 2017.0)}"
149.30507826599933,1,0,"['flights']distance,year_dateunique_carrier='TW'[]_{'distance': 'AVG'}_{'year_date': (1994.0, 2017.0)}"
32.36395646100573,2,1,"['flights']unique_carrier,dep_delay,year_dateorigin_state_abr='LA'['unique_carrier']_{'dep_delay': 'COUNT'}_{'year_date': (1994.0, 2017.0)}"
32.21044463901126,3,1,"['flights']unique_carrier,dep_delay,year_dateorigin_state_abr='LA',dest_state_abr='CA'['unique_carrier']_{'dep_delay': 'COUNT'}_{'year_date': (1994.0, 2017.0)}"
71.8687991189945,4,1,"['flights']year_date,dep_delay,year_dateorigin_state_abr='LA',dest='JFK'['year_date']_{'dep_delay': 'COUNT'}_{'year_date': (1994.0, 2017.0)}"
71.85218332900695,5,1,"['flights']year_date,distance,year_dateunique_carrier='9E'['year_date']_{'distance': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
29.311795538007573,6,1,"['flights']origin_state_abr,air_time,year_datedest='HPN'['origin_state_abr']_{'air_time': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
32.93556311699649,7,1,"['flights']unique_carrier,dep_delay,year_dateorigin='PHX'['unique_carrier']_{'dep_delay': 'AVG'}_{'year_date': (2005.0, 2005.0)}"
170.84014634999403,8,1,"['flights']dest_state_abr,dep_delay,distance['dest_state_abr']_{'dep_delay': 'COUNT'}_{'distance': (2500.0, None)}"
77.67588385600175,9,1,"['flights']unique_carrier,dep_delay,air_time,dep_delay['unique_carrier']_{'dep_delay': 'COUNT'}_{'air_time': (1000.0, None), 'dep_delay': (1500.0, None)}"
71.72630515299534,10,1,"['flights']year_date,arr_delay*dep_delay,year_dateorigin_state_abr='CA',dest_state_abr='HI'['year_date']_{'arr_delay*dep_delay': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
29.558875956980046,11,1,"['flights']dest_state_abr,taxi_out-taxi_in,year_dateunique_carrier='UA',origin='ATL'['dest_state_abr']_{'taxi_out-taxi_in': 'SUM'}_{'year_date': (1994.0, 2017.0)}"
