SUM(p_size);p_category
29195538.82748916;MFGR#51
27104741.489244908;MFGR#41
33467718.582536947;MFGR#33
27713334.21373449;MFGR#25
24969615.526711665;MFGR#15
26437627.85826848;MFGR#45
24458122.27453814;MFGR#32
29102813.738783162;MFGR#54
26221042.624857537;MFGR#22
23880942.026841935;MFGR#55
24082524.705345757;MFGR#35
25143155.193868864;MFGR#52
28520843.06299294;MFGR#53
27398687.924729045;MFGR#34
29807684.570607327;MFGR#11
29042229.22996485;MFGR#14
25548579.546502758;MFGR#23
25516877.97699013;MFGR#21
26191615.843070477;MFGR#13
27451366.902704522;MFGR#43
30302973.685135193;MFGR#44
29354499.417151544;MFGR#24
27249835.999681327;MFGR#42
24667249.450557116;MFGR#12
29036464.178837042;MFGR#31
