SUM(lo_tax);c_nation
190340.02393742997;VIETNAM        
123993.53275948616;MOZAMBIQUE     
142863.29805177887;EGYPT          
141152.86661414456;IRAQ           
140198.2106314172;CHINA          
81693.05635714385;ROMANIA        
133651.00225618566;JAPAN          
115923.23541438278;BRAZIL         
109277.06104842732;INDIA          
162499.4063650643;RUSSIA         
152803.29532369433;ALGERIA        
108117.92948658371;UNITED STATES  
117106.23962448374;GERMANY        
183033.6100464054;FRANCE         
130602.14018073378;ETHIOPIA       
156705.44072965247;KENYA          
183953.88473149049;ARGENTINA      
114620.05591234037;IRAN           
116448.39736001987;MOROCCO        
129275.03735443702;JORDAN         
149563.14609431574;CANADA         
110768.80616425013;UNITED KINGDOM 
86395.44618584268;INDONESIA      
133635.35704295;PERU           
128469.71530739035;SAUDI ARABIA   
