SUM(lo_tax);c_nation
176861.49882928672;ETHIOPIA       
178736.46830724957;SAUDI ARABIA   
164554.16735636964;INDONESIA      
204047.65432622854;GERMANY        
207756.5115070335;INDIA          
166869.17168853426;IRAN           
186250.34525144458;VIETNAM        
154880.86680824653;UNITED STATES  
186526.03782806004;ARGENTINA      
158835.0585636349;MOROCCO        
159046.88301248057;EGYPT          
177250.73943157855;ALGERIA        
178085.3426935834;RUSSIA         
213873.05300442752;JORDAN         
138934.436197011;ROMANIA        
177512.4820225211;MOZAMBIQUE     
187788.76151794745;UNITED KINGDOM 
198016.7796674987;CHINA          
260188.14371485595;BRAZIL         
210530.1623183805;FRANCE         
139997.8376606266;KENYA          
194292.9250894243;CANADA         
160983.92994238375;PERU           
199011.73861954722;IRAQ           
168458.87977638142;JAPAN          
