SUM(lo_tax);c_nation
3029997;ALGERIA        
3025108;ARGENTINA      
3090806;BRAZIL         
3080123;CANADA         
3078595;CHINA          
3032857;EGYPT          
3111803;ETHIOPIA       
3142030;FRANCE         
3066746;GERMANY        
3066842;INDIA          
3158329;INDONESIA      
3095541;IRAN           
3081400;IRAQ           
3029530;JAPAN          
3094364;JORDAN         
3013904;KENYA          
3033379;MOROCCO        
3099416;MOZAMBIQUE     
3012142;PERU           
3075681;ROMANIA        
3134089;RUSSIA         
3030029;SAUDI ARABIA   
3031249;UNITED KINGDOM 
3049618;UNITED STATES  
3106241;VIETNAM        
