SUM(lo_tax);c_nation
137715;ALGERIA        
136765;ARGENTINA      
140711;BRAZIL         
139163;CANADA         
139308;CHINA          
139011;EGYPT          
140214;ETHIOPIA       
141134;FRANCE         
140672;GERMANY        
138073;INDIA          
144126;INDONESIA      
141005;IRAN           
140059;IRAQ           
138160;JAPAN          
139838;JORDAN         
136374;KENYA          
138337;MOROCCO        
140590;MOZAMBIQUE     
136110;PERU           
139459;ROMANIA        
142540;RUSSIA         
137624;SAUDI ARABIA   
139660;UNITED KINGDOM 
138726;UNITED STATES  
142602;VIETNAM        
