SUM(lo_tax);c_nation
184108;ALGERIA        
183611;ARGENTINA      
187691;BRAZIL         
187419;CANADA         
187851;CHINA          
183286;EGYPT          
188935;ETHIOPIA       
191809;FRANCE         
187047;GERMANY        
185211;INDIA          
190667;INDONESIA      
188617;IRAN           
185255;IRAQ           
183897;JAPAN          
185927;JORDAN         
182097;KENYA          
184118;MOROCCO        
187321;MOZAMBIQUE     
182967;PERU           
186396;ROMANIA        
190117;RUSSIA         
183432;SAUDI ARABIA   
185045;UNITED KINGDOM 
184208;UNITED STATES  
187421;VIETNAM        
