query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
0,0.01986689999466762,1127606255776.8125,223211925302354.88,817643353737.1074,223858964433300.0,198773,0.0013846347535126753
1,0.021936000004643574,948211071992.6484,48021582510190.85,954855772599.6597,48918051191400.0,7096,0.0001358333058079672
2,0.021603599976515397,538859656520.75195,13022310295792.598,545837135321.60675,13369700154000.0,1623,0.0005218874560000695
3,0.42538149998290464,31438706952.438904,315860197042.99036,29575464205.605007,310699259100.0,299,0.005996933343938884
3,0.42538149998290464,32091113685.034973,329102051117.5566,30755090498.642445,323132272800.0,299,0.004134601520348445
3,0.42538149998290464,33122982841.41223,350600490766.86847,33008213841.10826,377367366600.0,354,0.00030413069719836854
3,0.42538149998290464,31107953283.448364,309250701198.6382,30390464025.453964,324581265600.0,309,0.0022105073029033136
3,0.42538149998290464,31652484068.782898,320169288746.6601,32541192840.13929,339596666700.0,295,0.0026169537527925093
3,0.42538149998290464,32251344361.679565,332395799212.5725,31071021562.985157,316450235100.0,281,0.0037298844108029183
3,0.42538149998290464,32026337662.32318,327775148105.7428,32119404925.636185,345268806600.0,313,0.00026955016362316105
3,0.42538149998290464,32666092607.120544,340997590720.6148,31451159534.261272,347681657100.0,331,0.003494383577761865
3,0.42538149998290464,32379930204.05121,335050899333.5132,35396932534.71902,412055917500.0,367,0.00732182745723536
3,0.42538149998290464,31928938053.740234,325785009270.9075,31980560069.85793,348694627200.0,322,0.00014804362353448632
3,0.42538149998290464,32284160903.38147,333072407374.49445,31066067785.017155,321989580300.0,291,0.0037830202990711964
3,0.42538149998290464,32981526398.6792,347613125685.7607,35012920560.87668,391709521200.0,339,0.005185970859156842
3,0.42538149998290464,31323899326.168762,313558067439.22406,30943651234.66152,318507683100.0,287,0.001193842760106543
3,0.42538149998290464,32491425863.36963,337361656252.69904,31592422965.962227,333023401200.0,301,0.002699518694986537
3,0.42538149998290464,32903643633.66577,345973800539.2449,31250589515.044167,331032190800.0,304,0.004993635557396084
3,0.42538149998290464,31766530380.95587,322480045665.8459,31544611533.807354,329754962700.0,296,0.0006729810685227258
3,0.42538149998290464,32283345353.0011,333055584109.4261,32897304254.10099,352531614300.0,311,0.0017415711845276387
3,0.42538149998290464,31439029046.542908,315866667529.555,30849326197.951107,319202721900.0,290,0.0018474242483951723
3,0.42538149998290464,31782661893.256775,322807565602.53235,31813123956.703053,346354429500.0,321,8.79505525315582e-05
3,0.42538149998290464,30891001780.63098,304953256370.7849,30685588971.402077,309727179000.0,276,0.0006632056311367647
3,0.42538149998290464,33138719582.5672,350933618458.57764,31377035186.848927,352570935300.0,342,0.004996680722474384
