approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.TABLESAMPLE,0,0.09088800000063202,0.017267101630519185,100,1,SELECT AVG(dep_delay) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE origin='ATL';,1.0
ApproachType.TABLESAMPLE,1,0.09144000000014785,1.8371351566886014,100,1,SELECT AVG(distance) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE unique_carrier='TW';,1.0
ApproachType.TABLESAMPLE,2,0.08354199999848788,16.578895208151422,100.0,26,"SELECT unique_carrier, COUNT(*) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE origin_state_abr='LA' GROUP BY unique_carrier;",1.0
ApproachType.TABLESAMPLE,3,0.07975799999985611,68.7808281024023,65.38461538461539,26,"SELECT unique_carrier, COUNT(*) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE origin_state_abr='LA' AND  dest_state_abr='CA' GROUP BY unique_carrier;",1.0
ApproachType.TABLESAMPLE,4,0.1725349999996979,104.4983603024671,54.54545454545454,22,"SELECT year_date, COUNT(*) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE origin_state_abr='LA' AND dest='JFK' GROUP BY year_date;",1.0
ApproachType.TABLESAMPLE,5,0.07128800000100455,14.56275456549802,100.0,22,"SELECT year_date, SUM(distance) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE unique_carrier='9E' GROUP BY year_date;",1.0
ApproachType.TABLESAMPLE,6,0.16875200000140467,79.11840047928038,58.82352941176471,51,"SELECT origin_state_abr, SUM(air_time) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE dest='HPN' GROUP BY origin_state_abr;",1.0
ApproachType.TABLESAMPLE,7,0.0692799999997078,0.7600533421825102,80.76923076923077,26,"SELECT unique_carrier, AVG(dep_delay) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE year_date=2005 AND origin='PHX' GROUP BY unique_carrier;",1.0
ApproachType.TABLESAMPLE,8,0.0744699999995646,28.159351270547443,90.56603773584906,53,"SELECT dest_state_abr, COUNT(*) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE distance>2500 GROUP BY dest_state_abr;",1.0
ApproachType.TABLESAMPLE,9,0.09459199999946577,99.87737879252352,80.76923076923077,26,"SELECT unique_carrier, COUNT(*) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE air_time>1000 AND dep_delay>1500 GROUP BY unique_carrier;",1.0
ApproachType.TABLESAMPLE,10,0.07003999999869848,32.313837427091045,100.0,22,"SELECT year_date, SUM(arr_delay*dep_delay) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE origin_state_abr = 'CA' AND dest_state_abr = 'HI' GROUP BY year_date;",1.0
ApproachType.TABLESAMPLE,11,0.07133900000007998,56.001068644195875,86.79245283018868,53,"SELECT dest_state_abr, SUM(taxi_out)-SUM(taxi_in) FROM flights TABLESAMPLE SYSTEM(1.0) WHERE unique_carrier = 'UA' AND origin = 'ATL' GROUP BY dest_state_abr;",1.0
