approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.TABLESAMPLE,0,2.9326462570006697,0.003563944319864128,100,1,SELECT AVG(dep_delay) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE origin='ATL';,2.0
ApproachType.TABLESAMPLE,1,2.6907495440000275,0.009521513803794512,100,1,SELECT AVG(distance) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE unique_carrier='TW';,2.0
ApproachType.TABLESAMPLE,2,2.9069483249995756,1.791872361230655,100.0,26,"SELECT unique_carrier, COUNT(*) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE origin_state_abr='LA' GROUP BY unique_carrier;",2.0
ApproachType.TABLESAMPLE,3,3.2339851139995517,5.175615105689072,100.0,26,"SELECT unique_carrier, COUNT(*) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE origin_state_abr='LA' AND  dest_state_abr='CA' GROUP BY unique_carrier;",2.0
ApproachType.TABLESAMPLE,4,2.991393010000138,8.161101699151983,100.0,22,"SELECT year_date, COUNT(*) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE origin_state_abr='LA' AND dest='JFK' GROUP BY year_date;",2.0
ApproachType.TABLESAMPLE,5,2.8109577559998797,1.1139077397860593,100.0,22,"SELECT year_date, SUM(distance) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE unique_carrier='9E' GROUP BY year_date;",2.0
ApproachType.TABLESAMPLE,6,3.0627351950006414,7.547322036227727,98.11320754716981,53,"SELECT origin_state_abr, SUM(air_time) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE dest='HPN' GROUP BY origin_state_abr;",2.0
ApproachType.TABLESAMPLE,7,2.4767564980002135,0.16982199670884815,100.0,26,"SELECT unique_carrier, AVG(dep_delay) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE year_date=2005 AND origin='PHX' GROUP BY unique_carrier;",2.0
ApproachType.TABLESAMPLE,8,4.709839336999721,2.866169257265818,100.0,53,"SELECT dest_state_abr, COUNT(*) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE distance>2500 GROUP BY dest_state_abr;",2.0
ApproachType.TABLESAMPLE,9,5.289793281000129,4.404053474779326,100.0,26,"SELECT unique_carrier, COUNT(*) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE air_time>1000 AND dep_delay>1500 GROUP BY unique_carrier;",2.0
ApproachType.TABLESAMPLE,10,3.2810251179998886,2.2800786975653016,100.0,22,"SELECT year_date, SUM(arr_delay*dep_delay) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE origin_state_abr = 'CA' AND dest_state_abr = 'HI' GROUP BY year_date;",2.0
ApproachType.TABLESAMPLE,11,2.9614284039998893,11.336830282138724,100.0,53,"SELECT dest_state_abr, SUM(taxi_out)-SUM(taxi_in) FROM flights TABLESAMPLE SYSTEM(2.0) WHERE unique_carrier = 'UA' AND origin = 'ATL' GROUP BY dest_state_abr;",2.0
