approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.VERDICT_DB,0,2.177961998997489,0.0014020487355846485,100,1,SELECT AVG(dep_delay) FROM public.flights_scrambled WHERE origin='ATL';,1.0
ApproachType.VERDICT_DB,1,0.4329665049954201,0.658920845894611,100,1,SELECT AVG(distance) FROM public.flights_scrambled WHERE unique_carrier='TW';,1.0
ApproachType.VERDICT_DB,2,1.0417895009959466,1.8483156035273705,100.0,26,"SELECT unique_carrier, COUNT(*) FROM public.flights_scrambled WHERE origin_state_abr='LA' GROUP BY unique_carrier;",1.0
ApproachType.VERDICT_DB,3,0.8674072040012106,5.818730455495453,100.0,26,"SELECT unique_carrier, COUNT(*) FROM public.flights_scrambled WHERE origin_state_abr='LA' AND  dest_state_abr='CA' GROUP BY unique_carrier;",1.0
ApproachType.VERDICT_DB,4,0.836760325000796,7.6516418823154755,100.0,22,"SELECT year_date, COUNT(*) FROM public.flights_scrambled WHERE origin_state_abr='LA' AND dest='JFK' GROUP BY year_date;",1.0
ApproachType.VERDICT_DB,5,0.9572535539991804,1.214804757895638,100.0,22,"SELECT year_date, SUM(distance) FROM public.flights_scrambled WHERE unique_carrier='9E' GROUP BY year_date;",1.0
ApproachType.VERDICT_DB,6,0.8592781109982752,12.760710361043953,98.11320754716981,53,"SELECT origin_state_abr, SUM(air_time) FROM public.flights_scrambled WHERE dest='HPN' GROUP BY origin_state_abr;",1.0
ApproachType.VERDICT_DB,7,0.42832061700028135,0.3064361939218364,100.0,26,"SELECT unique_carrier, AVG(dep_delay) FROM public.flights_scrambled WHERE year_date=2005 AND origin='PHX' GROUP BY unique_carrier;",1.0
ApproachType.VERDICT_DB,8,0.9552529630018398,5.246268686611445,100.0,53,"SELECT dest_state_abr, COUNT(*) FROM public.flights_scrambled WHERE distance>2500 GROUP BY dest_state_abr;",1.0
ApproachType.VERDICT_DB,9,1.0304328120037098,7.171476343508727,100.0,26,"SELECT unique_carrier, COUNT(*) FROM public.flights_scrambled WHERE air_time>1000 AND dep_delay>1500 GROUP BY unique_carrier;",1.0
ApproachType.VERDICT_DB,10,0.762183899001684,2.913988005980324,100.0,22,"SELECT year_date, SUM(arr_delay*dep_delay) FROM public.flights_scrambled WHERE origin_state_abr = 'CA' AND dest_state_abr = 'HI' GROUP BY year_date;",1.0
ApproachType.VERDICT_DB,11,0.8077879919947009,28.0323689483792,98.11320754716981,53,"SELECT dest_state_abr, SUM(taxi_out)-SUM(taxi_in) FROM public.flights_scrambled WHERE unique_carrier = 'UA' AND origin = 'ATL' GROUP BY dest_state_abr;",1.0
