approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage,no_dim,max_num_coefficients,max_samples,upsampling
ApproachType.WAVELET,1,1.1510892901569605,0.4575068025095252,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,2,30000,1000000,1000
ApproachType.WAVELET,1,2.7814637068659067,26.71061126222382,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,3,30000,1000000,1000
ApproachType.WAVELET,1,3.104990279302001,4.3636015990351895,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,4,30000,1000000,1000
ApproachType.WAVELET,1,3.6178541127592325,455.1617336304422,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,5,30000,1000000,1000
ApproachType.WAVELET,1,3.277523735538125,548.5028467950608,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,6,30000,1000000,1000
ApproachType.WAVELET,1,2.961682228371501,574.7114272039898,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,7,30000,1000000,1000
ApproachType.WAVELET,1,3.391738124191761,574.4396177575939,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,8,30000,1000000,1000
ApproachType.WAVELET,1,3.153772970661521,574.3470616724446,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,9,30000,1000000,1000
ApproachType.WAVELET,1,4.176265446469188,574.3470406235933,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,10,30000,1000000,1000
ApproachType.WAVELET,1,4.380261540412903,574.3670587213682,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,11,30000,1000000,1000
ApproachType.WAVELET,1,4.133586132898927,574.3382107719426,100,1,SELECT AVG(distance) FROM flights WHERE unique_carrier='TW';,1,12,30000,1000000,1000
