filename,learn_time,full_sample_size,min_instances_slice,rdc_threshold,no_joins,no_tables,tables
ensemble_join_3_budget_0_1000.pkl,48.422447699,1000,10.0,0.3,1,2,title - cast_info
ensemble_join_3_budget_0_1000.pkl,35.828167498,1000,10.0,0.3,1,2,movie_companies - title
ensemble_join_3_budget_0_1000.pkl,28.695616591999993,1000,10.0,0.3,1,2,movie_info_idx - title
ensemble_join_3_budget_0_1000.pkl,42.63858823800001,1000,10.0,0.3,1,2,movie_keyword - title
ensemble_join_3_budget_0_1000.pkl,31.57391329799998,1000,10.0,0.3,1,2,movie_info - title
ensemble_join_3_budget_0_10000.pkl,75.048859489,10000,100.0,0.3,1,2,title - cast_info
ensemble_join_3_budget_0_10000.pkl,58.058777687,10000,100.0,0.3,1,2,movie_info_idx - title
ensemble_join_3_budget_0_10000.pkl,75.66824104899999,10000,100.0,0.3,1,2,movie_keyword - title
ensemble_join_3_budget_0_10000.pkl,76.23307663099999,10000,100.0,0.3,1,2,movie_companies - title
ensemble_join_3_budget_0_10000.pkl,60.20321305599998,10000,100.0,0.3,1,2,movie_info - title
ensemble_join_3_budget_0_100000.pkl,171.29181524999998,100000,1000.0,0.3,1,2,movie_keyword - title
ensemble_join_3_budget_0_100000.pkl,126.40944876199998,100000,1000.0,0.3,1,2,movie_companies - title
ensemble_join_3_budget_0_100000.pkl,144.42701046000002,100000,1000.0,0.3,1,2,movie_info - title
ensemble_join_3_budget_0_100000.pkl,114.95345839000004,100000,1000.0,0.3,1,2,movie_info_idx - title
ensemble_join_3_budget_0_100000.pkl,133.36791302999995,100000,1000.0,0.3,1,2,title - cast_info
ensemble_join_3_budget_0_1000000.pkl,302.52701082,1000000,10000.0,0.3,1,2,movie_companies - title
ensemble_join_3_budget_0_1000000.pkl,188.43186829099994,1000000,10000.0,0.3,1,2,movie_info_idx - title
ensemble_join_3_budget_0_1000000.pkl,272.567083549,1000000,10000.0,0.3,1,2,title - cast_info
ensemble_join_3_budget_0_1000000.pkl,304.453236575,1000000,10000.0,0.3,1,2,movie_keyword - title
