query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id = 1 and t.production_year < 2012 and mc.company_id > 7851 and mi.info_type_id > 16 and mi_idx.info_type_id = 101;",925465148.4473906,994094709,2.5832094252109528,3,0.8675381541252136
1,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id < 7 and t.production_year > 1936 and ci.person_id > 1487650 and ci.role_id < 8 and mk.keyword_id = 16264;",323468.8856974106,539979,3.04221548140049,3,1.3519804924726486
2,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id < 5569 and mc.company_type_id = 1 and mi.info_type_id > 1 and mi_idx.info_type_id = 99 and mk.keyword_id < 10833;",1361196599.9268992,1360323800,2.0556356757879257,3,0.5882177501916885
3,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id > 11203 and mc.company_type_id = 2 and mi.info_type_id = 8 and mi_idx.info_type_id = 101 and mk.keyword_id = 52288;",26.104400727552868,24,2.597928047180176,2,0.8151717483997345
4,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id > 1 and mc.company_type_id = 2 and ci.person_id > 990535 and ci.role_id = 2 and mi_idx.info_type_id = 101;",13749350.591663767,10919218,3.0329041182994843,3,1.5328321605920792
5,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id < 7 and t.production_year > 2010 and ci.person_id < 614751 and mi.info_type_id < 16 and mi_idx.info_type_id < 100;",64216205.07382068,30826466,3.088751807808876,3,1.4761071652173996
6,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.production_year = 2012 and mc.company_id = 139 and ci.role_id > 10 and mi.info_type_id = 3 and mi_idx.info_type_id = 100;",21.70845057010532,6,1.996440812945366,3,0.5164742469787598
7,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.role_id = 3;",2962463.5563657577,318496002,2.2835060954093933,3,0.6151758134365082
8,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310",0.24358916862265892,37,2.536419779062271,1,0.5581527948379517
9,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year < 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310;",0.149514976247603,136,2.4259276688098907,3,0.7845517247915268
